b,1883.0,415.0, y, p, c, v,165.0, f, t,1, f, g,200,1, negative
b,3292.0,25.0, u, g, aa, v,175.0, f, t,2, t, g,720,0, negative
a,45.0,4585.0, u, g, k, h,1.0, f, f,0, t, s,240,0, negative
b,2325.0,4.0, u, g, c, bb,25.0, t, f,0, t, g,160,0, positive
a,5333.0,165.0, u, g, ff, ff,0.0, f, f,0, t, s,62,27, negative
a,1270.0,4390.0, y, p, w, h,0.0, t, f,0, f, g,74,2247, positive
b,2858.0,3625.0, u, g, aa, v,25.0, f, f,0, t, g,100,0, negative
b,1933.0,10915.0, u, g, c, bb,585.0, f, t,2, t, g,200,7, negative
b,2433.0,6625.0, y, p, d, v,55.0, t, f,0, t, s,100,0, positive
b,2042.0,1835.0, u, g, c, v,225.0, t, t,1, f, g,100,150, positive
a,1882.0,7777.0, u, p, m, h,0.0, t, f,0, t, g,0,14399, positive
a,2067.0,1835.0, u, g, q, v,2085.0, t, t,5, f, g,220,2503, positive
a,1975.0,75.0, u, g, c, v,795.0, t, t,5, t, g,140,5, negative
a,1967.0,21.0, u, g, q, h,29.0, t, t,11, f, g,80,99, positive
a,1649.0,900.0, y, g, ff, v,0.0, t, t,0, t, g,140,698, positive
b,3617.0,42.0, y, p, w, v,29.0, f, f,0, t, g,309,2, negative
a,2717.0,125.0, u, g, ff, ff,0.0, f, t,1, f, g,92,300, negative
b,2217.0,585.0, y, p, ff, ff,0.0, f, f,0, f, g,100,0, negative
a,1583.0,7625.0, u, g, q, v,125.0, f, t,1, t, g,0,160, negative
b,2308.0,25.0, u, g, ff, ff,85.0, f, f,0, t, g,100,4208, negative
b,2517.0,3.0, u, g, c, v,125.0, f, t,1, f, g,0,22, negative
b,18.0,0.0, u, g, w, h,0.0, t, f,9, f, g,0,927, positive
a,2267.0,335.0, u, g, q, v,75.0, f, f,0, f, s,160,0, negative
a,32.0,6.0, u, g, d, v,125.0, f, f,0, f, g,272,0, negative
a,3080.0,1145.0, u, g, d, v,0.0, t, t,2, t, g,103,2749, positive
b,2617.0,125.0, y, p, k, h,125.0, f, f,0, t, g,0,17, negative
a,1817.0,10.0, y, p, q, h,165.0, f, f,0, f, g,340,0, negative
b,19.0,175.0, y, p, c, v,2335.0, f, f,0, t, g,112,6, negative
a,2175.0,175.0, y, p, j, j,0.0, f, f,0, f, g,160,0, negative
a,1958.0,665.0, u, g, w, v,1665.0, f, f,0, f, g,220,5, negative
b,2042.0,7.0, u, g, c, v,1625.0, t, t,3, f, g,200,1391, positive
b,2325.0,15.0, u, g, q, v,2375.0, t, t,3, t, g,0,582, positive
a,2817.0,375.0, u, g, q, v,585.0, t, t,4, f, g,80,0, positive
b,4817.0,7625.0, u, g, w, h,155.0, t, t,12, f, g,0,790, positive
b,2217.0,585.0, y, p, ff, ff,0.0, f, f,0, f, g,100,0, negative
b,3183.0,25.0, u, g, aa, v,75.0, t, f,0, t, g,523,0, negative
a,2192.0,11665.0, u, g, k, h,85.0, f, f,0, f, g,320,5, negative
a,3833.0,4415.0, u, g, c, v,125.0, f, f,0, f, g,160,0, negative
b,4192.0,42.0, u, g, c, h,21.0, t, t,6, f, g,220,948, positive
a,4608.0,3.0, u, g, c, v,2375.0, t, t,8, t, g,396,4159, positive
b,2325.0,15.0, u, g, q, v,2375.0, t, t,3, t, g,0,582, positive
a,2242.0,5665.0, u, g, q, v,2585.0, t, t,7, f, g,129,3257, positive
a,1575.0,375.0, u, g, c, v,1.0, f, f,0, f, g,120,18, negative
b,3208.0,4.0, y, p, cc, v,15.0, f, f,0, t, g,120,0, negative
a,285.0,304.0, y, p, x, h,254.0, t, t,1, f, g,70,0, positive
b,1817.0,246.0, u, g, c, n,96.0, f, t,2, t, g,160,587, negative
b,4875.0,85.0, u, g, c, h,125.0, t, t,9, f, g,181,1655, positive
b,2583.0,12835.0, u, g, cc, v,5.0, f, f,0, f, g,0,2, negative
b,5858.0,271.0, u, g, c, v,2415.0, f, f,0, t, g,320,0, negative
b,4283.0,4625.0, u, g, q, v,458.0, t, f,0, f, s,0,0, positive
a,225.0,85.0, u, g, q, v,175.0, t, t,10, f, g,80,990, negative
b,2308.0,0.0, u, g, k, v,1.0, f, t,11, f, s,0,0, negative
b,2308.0,0.0, u, g, k, v,1.0, f, t,11, f, s,0,0, negative
a,49.0,15.0, u, g, j, j,0.0, t, f,0, t, g,100,27, negative
a,2358.0,585.0, y, p, ff, ff,125.0, f, f,0, f, g,120,87, negative
a,6408.0,165.0, u, g, ff, ff,0.0, t, t,1, f, g,232,100, positive
b,2208.0,83.0, u, g, c, h,2165.0, f, f,0, t, g,128,0, positive
b,3142.0,155.0, u, g, c, v,5.0, t, f,0, f, g,120,0, negative
a,46.0,4.0, u, g, j, j,0.0, t, f,0, f, g,100,960, positive
b,2558.0,335.0, u, g, k, h,35.0, f, f,0, t, g,340,0, negative
b,19.0,0.0, y, p, ff, ff,0.0, f, t,4, f, g,45,1, negative
b,5183.0,204.0, y, p, ff, ff,15.0, f, f,0, f, g,120,1, negative
b,44.0,2.0, u, g, m, v,175.0, t, t,2, t, g,0,15, positive
a,18.0,1194.0, y, p, c, bb,0.0, t, t,3, t, g,245,489, positive
a,1917.0,585.0, y, p, aa, v,585.0, t, f,0, t, g,160,0, negative
a,1018.0,1041.0, u, g, x, bb,0.0, t, f,0, t, g,517,139, positive
b,3417.0,275.0, u, g, i, bb,25.0, f, f,0, t, g,232,200, negative
b,40.0,65.0, u, g, aa, bb,35.0, t, t,1, f, g,0,500, positive
b,205.0,2415.0, u, g, c, v,2.0, t, t,11, t, g,200,3000, positive
a,2733.0,1665.0, u, g, ff, ff,0.0, f, f,0, f, g,340,1, negative
b,2183.0,11.0, u, g, x, v,29.0, t, t,6, f, g,121,0, positive
a,47.0,13.0, u, g, i, bb,5165.0, t, t,9, t, g,0,0, positive
b,2617.0,125.0, y, p, k, h,125.0, f, f,0, t, g,0,17, negative
b,34.0,5085.0, y, p, i, bb,1085.0, f, f,0, t, g,480,0, negative
b,2275.0,115.0, u, g, i, v,415.0, f, f,0, f, g,0,0, negative
b,2458.0,125.0, u, g, c, v,25.0, f, f,0, f, g,110,0, negative
a,3325.0,25.0, y, p, c, v,25.0, f, f,0, t, g,0,2, negative
b,2067.0,415.0, u, g, c, v,125.0, f, f,0, f, g,0,44, negative
a,3575.0,915.0, u, g, aa, v,75.0, t, t,4, f, g,0,1583, positive
b,235.0,275.0, u, g, ff, ff,45.0, f, f,0, f, g,160,25, negative
a,2042.0,105.0, y, p, x, h,0.0, f, f,0, t, g,154,32, negative
a,1733.0,95.0, u, g, aa, v,175.0, f, t,10, t, g,0,10, negative
b,3825.0,10125.0, y, p, k, v,125.0, f, f,0, f, g,160,0, negative
a,3058.0,10665.0, u, g, q, h,85.0, f, t,12, t, g,129,3, negative
b,2767.0,2.0, u, g, x, h,1.0, t, t,4, f, g,140,7544, positive
b,4808.0,604.0, u, g, k, v,4.0, f, f,0, f, g,0,2690, positive
b,2275.0,115.0, u, g, i, v,415.0, f, f,0, f, g,0,0, negative
a,2342.0,79.0, y, p, q, v,15.0, t, t,2, t, g,80,400, positive
a,2342.0,79.0, y, p, q, v,15.0, t, t,2, t, g,80,400, positive
a,225.0,846.0, y, p, x, v,246.0, f, f,0, f, g,164,0, positive
b,2833.0,5.0, u, g, w, v,11.0, t, f,0, t, g,70,0, positive
b,1858.0,571.0, u, g, d, v,54.0, f, f,0, f, g,120,0, negative
b,28.0,3.0, u, g, w, v,75.0, f, f,0, t, g,300,67, negative
b,3288.0,1978.0, l, g, k, v,0.0, t, f,0, t, g,0,0, positive
b,5483.0,155.0, u, g, e, z,0.0, t, t,20, f, g,152,130, negative
b,3167.0,16165.0, u, g, d, v,3.0, t, t,9, f, g,250,730, positive
b,23.0,625.0, y, p, aa, v,125.0, t, f,0, f, g,180,1, negative
b,2258.0,15.0, y, p, aa, v,54.0, f, f,0, t, g,120,67, negative
b,1625.0,0.0, y, p, aa, v,25.0, f, f,0, f, g,60,0, negative
b,2208.0,2335.0, u, g, k, v,75.0, f, f,0, f, g,180,0, negative
b,23.0,75.0, u, g, m, v,5.0, f, f,0, t, s,320,0, negative
b,5183.0,3.0, y, p, ff, ff,15.0, f, f,0, f, g,180,4, negative
a,3175.0,3.0, y, p, j, j,0.0, f, f,0, f, g,160,20, negative
a,1448.0,1129.0, y, p, q, h,0.0, t, f,0, f, g,0,669, positive
b,2358.0,179.0, u, g, c, v,54.0, f, f,0, t, g,136,1, negative
b,2992.0,1835.0, u, g, c, h,4335.0, t, f,0, f, g,260,200, positive
b,2075.0,5085.0, y, p, j, v,29.0, f, f,0, f, g,140,184, negative
a,25.0,875.0, u, g, x, h,104.0, t, f,0, t, g,160,5860, positive
b,2067.0,835.0, y, p, c, v,2.0, f, f,0, t, s,240,0, negative
b,33.0,25.0, y, p, w, v,7.0, f, f,0, t, g,280,0, negative
a,5283.0,15.0, u, g, c, v,55.0, t, t,14, f, g,0,2200, positive
a,16.0,165.0, u, g, aa, v,1.0, f, t,2, t, g,320,1, negative
b,20.0,7.0, u, g, c, v,5.0, f, f,0, f, g,0,0, negative
a,3658.0,29.0, u, g, ff, ff,0.0, f, t,10, f, g,200,18, negative
a,195.0,165.0, u, g, q, v,4.0, f, f,0, t, g,380,0, negative
b,2292.0,3165.0, y, p, c, v,165.0, f, f,0, f, g,160,1058, negative
a,3695.0,1398.0, y, gg, aa, v,0.0, t, t,0, t, g,174,2588, positive
b,3733.0,65.0, u, g, m, h,425.0, t, t,12, t, g,93,0, positive
a,1858.0,10.0, u, g, d, v,415.0, f, f,0, f, g,80,42, negative
a,215.0,6.0, u, g, aa, v,25.0, t, t,3, f, g,80,918, positive
a,3765.0,0.0, u, p, c, v,0.0, t, t,14, f, g,226,2201, positive
a,2242.0,1125.0, y, p, x, h,75.0, t, t,4, f, g,0,321, positive
a,2358.0,115.0, y, p, k, h,3.0, f, f,0, t, g,20,16, negative
b,2692.0,225.0, u, g, i, bb,5.0, f, f,0, t, g,640,4000, negative
a,18.0,594.0, u, gg, e, z,0.0, t, t,2, t, g,0,406, positive
b,19.0,0.0, y, p, ff, ff,0.0, f, t,4, f, g,45,1, negative
b,2389.0,339.0, u, g, w, h,0.0, t, t,0, t, g,0,0, positive
a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
b,215.0,975.0, u, g, c, v,25.0, t, f,0, f, g,140,0, negative
b,2567.0,325.0, u, g, c, h,229.0, f, t,1, t, g,416,21, negative
b,3925.0,95.0, u, g, m, v,65.0, t, t,14, f, g,240,4607, positive
b,4317.0,225.0, u, g, i, bb,75.0, t, f,0, f, g,560,0, negative
b,2217.0,225.0, u, g, i, v,125.0, f, f,0, f, g,160,10, negative
b,18.0,0.0, u, g, w, h,0.0, t, f,9, f, g,0,927, positive
b,1942.0,725.0, u, g, m, v,4.0, f, t,1, f, g,100,1, negative
b,2325.0,15.0, u, g, q, v,2375.0, t, t,3, t, g,0,582, positive
a,1283.0,171.0, u, g, m, v,116.0, t, f,0, f, s,41,167, positive
a,3308.0,1625.0, u, g, d, v,54.0, f, f,0, t, g,0,0, negative
b,2183.0,154.0, u, g, k, v,85.0, f, f,0, t, g,356,0, negative
b,2192.0,5.0, u, g, c, v,125.0, f, f,0, f, g,360,0, negative
b,5642.0,28.0, y, p, c, v,285.0, t, t,40, f, g,0,15, positive
b,4425.0,11.0, y, p, d, v,15.0, t, f,0, f, s,0,0, negative
a,4083.0,10.0, u, g, q, h,175.0, t, f,0, f, g,29,837, positive
b,2583.0,12835.0, u, g, cc, v,5.0, f, f,0, f, g,0,2, negative
a,1286.0,0.0, y, p, q, v,0.0, t, t,0, t, g,0,1387, positive
b,3492.0,25.0, u, g, w, v,0.0, t, f,0, t, g,239,200, positive
a,2358.0,115.0, y, p, k, h,3.0, f, f,0, t, g,20,16, negative
b,2026.0,71.0, u, p, e, v,0.0, t, f,0, t, g,46,0, positive
b,3108.0,15.0, y, p, w, v,4.0, f, f,0, f, s,160,0, negative
a,2267.0,335.0, u, g, q, v,75.0, f, f,0, f, s,160,0, negative
b,375.0,835.0, u, g, e, v,4.0, f, f,0, f, g,120,5, negative
a,225.0,415.0, u, g, i, v,335.0, f, f,0, t, s,144,0, negative
b,2783.0,15.0, u, g, w, v,225.0, f, t,1, t, g,100,3, negative
a,3375.0,75.0, u, g, k, bb,1.0, t, t,3, t, g,212,0, negative
a,6408.0,165.0, u, g, ff, ff,0.0, t, t,1, f, g,232,100, positive
b,3142.0,155.0, u, g, c, v,5.0, t, f,0, f, g,120,0, negative
b,5442.0,5.0, y, p, k, h,396.0, t, f,0, f, g,180,314, positive
b,18.0,1083.0, u, gg, w, v,0.0, t, t,0, f, s,0,471, positive
b,2458.0,125.0, u, g, w, v,875.0, t, f,0, t, g,260,0, negative
b,2325.0,4.0, u, g, c, bb,25.0, t, f,0, t, g,160,0, positive
a,2075.0,1025.0, u, g, q, v,71.0, t, t,2, t, g,49,0, positive
b,2107.0,4.0, u, g, cc, v,0.0, t, t,0, f, g,207,2599, positive
a,245.0,5.0, u, g, q, h,15.0, t, f,0, f, g,280,824, positive
a,3175.0,3.0, y, p, j, j,0.0, f, f,0, f, g,160,20, negative
b,2433.0,6625.0, y, p, d, v,55.0, t, f,0, t, s,100,0, positive
b,2567.0,221.0, y, p, aa, v,4.0, t, f,0, f, g,188,0, negative
a,1401.0,1379.0, u, g, e, h,2084.0, f, t,0, t, g,0,0, positive
a,205.0,11835.0, u, g, c, h,6.0, t, f,0, f, g,340,0, positive
a,2267.0,75.0, u, g, c, v,2.0, f, t,2, t, g,200,394, negative
b,2067.0,125.0, y, p, c, h,1375.0, t, t,3, t, g,140,210, negative
b,3475.0,15.0, u, g, r, n,5375.0, t, t,9, t, g,0,134, positive
b,39.0,5.0, u, g, cc, v,35.0, t, t,10, t, g,0,0, positive
a,5708.0,195.0, u, g, c, v,55.0, t, t,7, f, g,0,3000, positive
a,3675.0,471.0, u, g, ff, ff,0.0, f, f,0, f, g,160,0, negative
b,2108.0,4125.0, y, p, i, h,4.0, f, f,0, f, g,140,100, negative
b,2525.0,1.0, u, g, aa, v,5.0, f, f,0, f, g,200,0, negative
a,3695.0,1398.0, y, gg, aa, v,0.0, t, t,0, t, g,174,2588, positive
b,3275.0,15.0, u, g, cc, h,55.0, t, t,3, t, g,0,0, positive
b,2725.0,625.0, u, g, aa, v,455.0, t, f,0, t, g,200,0, negative
b,3142.0,155.0, u, g, c, v,5.0, t, f,0, f, g,120,0, negative
b,3267.0,55.0, u, g, q, h,55.0, t, t,12, t, g,408,1000, positive
b,4208.0,104.0, u, g, w, v,5.0, t, t,6, t, g,500,10000, positive
b,2117.0,25.0, y, p, c, h,25.0, f, f,0, f, g,280,204, negative
b,3717.0,4.0, u, g, c, bb,5.0, t, f,0, t, s,280,0, negative
a,47.0,13.0, u, g, i, bb,5165.0, t, t,9, t, g,0,0, positive
b,3142.0,155.0, u, g, c, v,5.0, t, f,0, f, g,120,0, negative
b,18.0,0.0, y, g, d, v,0.0, f, f,3, f, s,0,2573, positive
a,18.0,745.0, u, p, c, h,0.0, t, f,2, t, g,191,2626, positive
a,3325.0,25.0, y, p, c, v,25.0, f, f,0, t, g,0,2, negative
b,2183.0,11.0, u, g, x, v,29.0, t, t,6, f, g,121,0, positive
a,4133.0,1.0, u, g, i, bb,225.0, t, f,0, t, g,0,300, positive
a,18.0,1194.0, y, p, c, bb,0.0, t, t,3, t, g,245,489, positive
b,1708.0,329.0, u, g, i, v,335.0, f, f,0, t, g,140,2, negative
b,34.0,5085.0, y, p, i, bb,1085.0, f, f,0, t, g,480,0, negative
a,285.0,1.0, u, g, q, v,1.0, t, t,2, t, g,167,500, negative
b,3733.0,65.0, u, g, m, h,425.0, t, t,12, t, g,93,0, positive
b,6542.0,11.0, u, g, e, z,20.0, t, t,7, t, g,22,0, positive
a,2475.0,3.0, u, g, q, h,1835.0, t, t,19, f, g,0,500, positive
b,3642.0,75.0, y, p, d, v,585.0, f, f,0, f, g,240,3, negative
b,3233.0,35.0, u, g, k, v,5.0, f, f,0, t, g,232,0, negative
b,19.0,175.0, y, p, c, v,2335.0, f, f,0, t, g,112,6, negative
b,1942.0,15.0, y, p, cc, v,2.0, t, f,0, t, g,100,20, negative
a,5192.0,65.0, u, g, i, bb,3085.0, f, f,0, t, g,73,0, negative
a,5192.0,65.0, u, g, i, bb,3085.0, f, f,0, t, g,73,0, negative
a,3483.0,125.0, y, p, i, h,5.0, f, f,0, t, g,160,0, negative
a,1917.0,585.0, y, p, aa, v,585.0, t, f,0, t, g,160,0, negative
b,1942.0,725.0, u, g, m, v,4.0, f, t,1, f, g,100,1, negative
a,235.0,9.0, u, g, q, v,85.0, t, t,5, t, g,120,0, positive
b,2517.0,35.0, u, g, cc, v,625.0, t, t,7, f, g,0,7059, positive
a,3325.0,25.0, y, p, c, v,25.0, f, f,0, t, g,0,2, negative
b,2183.0,11.0, u, g, x, v,29.0, t, t,6, f, g,121,0, positive
b,2292.0,3165.0, y, p, c, v,165.0, f, f,0, f, g,160,1058, negative
a,1917.0,585.0, y, p, aa, v,585.0, t, f,0, t, g,160,0, negative
b,4917.0,229.0, u, g, ff, ff,29.0, f, f,0, f, g,200,3, negative
b,3125.0,2835.0, u, g, ff, ff,0.0, f, t,5, f, g,176,146, negative
b,41.0,4.0, u, g, e, v,4.0, f, t,1, f, s,560,0, positive
b,4092.0,5.0, y, p, m, v,5.0, f, f,0, t, g,130,0, negative
b,1958.0,585.0, u, g, ff, ff,0.0, f, t,3, f, g,350,769, negative
a,2658.0,254.0, y, p, ff, ff,0.0, f, f,0, t, g,180,60, negative
a,18.0,1224.0, u, g, e, v,0.0, t, f,10, f, g,0,3002, positive
b,5483.0,155.0, u, g, e, z,0.0, t, t,20, f, g,152,130, negative
b,20.0,7.0, u, g, c, v,5.0, f, f,0, f, g,0,0, negative
b,2308.0,25.0, u, g, ff, ff,85.0, f, f,0, t, g,100,4208, negative
a,3042.0,1375.0, u, g, w, h,4.0, f, t,3, f, g,0,33, negative
b,2133.0,75.0, u, g, aa, v,1415.0, t, t,1, f, g,80,9800, positive
a,5708.0,195.0, u, g, c, v,55.0, t, t,7, f, g,0,3000, positive
b,1842.0,10415.0, y, p, aa, v,125.0, t, f,0, f, g,120,375, negative
b,185.0,2.0, u, g, i, v,15.0, t, t,2, f, g,120,300, positive
b,4425.0,11.0, y, p, d, v,15.0, t, f,0, f, s,0,0, negative
b,4092.0,225.0, y, p, x, h,10.0, t, f,0, t, g,176,0, negative
b,4858.0,205.0, y, p, k, v,25.0, t, t,11, f, g,380,2732, positive
b,2567.0,325.0, u, g, c, h,229.0, f, t,1, t, g,416,21, negative
b,2625.0,154.0, u, g, w, v,125.0, f, f,0, f, g,100,0, negative
b,3483.0,25.0, y, p, w, v,3.0, f, f,0, f, s,200,0, negative
b,3167.0,83.0, u, g, x, v,1335.0, t, t,8, t, g,303,3290, positive
b,3667.0,325.0, u, g, q, h,9.0, t, f,0, t, g,102,639, positive
b,2067.0,529.0, u, g, q, v,375.0, t, t,1, f, g,160,0, negative
b,2867.0,145.0, u, g, d, v,125.0, f, f,0, f, g,0,286, negative
b,25.0,12.0, u, g, k, v,225.0, t, t,2, t, g,120,5, negative
b,4875.0,85.0, u, g, c, h,125.0, t, t,9, f, g,181,1655, positive
b,3667.0,325.0, u, g, q, h,9.0, t, f,0, t, g,102,639, positive
b,6008.0,145.0, u, g, ff, ff,18.0, t, t,15, t, g,0,1000, positive
b,2725.0,1585.0, u, g, cc, h,1835.0, t, t,12, t, g,583,713, positive
b,3017.0,1085.0, y, p, c, v,4.0, f, f,0, f, g,170,179, negative
b,5742.0,85.0, u, g, e, h,7.0, t, t,3, f, g,0,0, positive
