a,2267.0,335.0, u, g, q, v,75.0, f, f,0, f, s,160,0, negative
b,3233.0,75.0, u, g, e, bb,1585.0, t, f,0, t, s,420,0, negative
a,1649.0,900.0, y, g, ff, v,0.0, t, t,0, t, g,140,698, positive
b,1633.0,275.0, u, g, aa, v,665.0, f, t,1, f, g,80,21, negative
b,2392.0,15.0, u, g, d, h,1875.0, t, t,6, f, g,200,327, positive
b,3317.0,3165.0, y, p, x, v,3165.0, t, t,3, t, g,380,0, positive
b,2267.0,165.0, u, g, c, j,225.0, f, f,0, t, s,0,0, positive
b,4208.0,104.0, u, g, w, v,5.0, t, t,6, t, g,500,10000, positive
b,45.0,85.0, u, g, cc, h,14.0, t, t,1, t, g,88,2000, positive
b,3008.0,104.0, y, p, i, bb,5.0, t, t,10, t, g,132,28, negative
b,2217.0,225.0, u, g, i, v,125.0, f, f,0, f, g,160,10, negative
a,3517.0,375.0, u, g, ff, ff,0.0, f, t,6, f, g,0,200, negative
b,1967.0,10.0, y, p, k, h,835.0, t, f,0, t, g,140,0, negative
b,3517.0,45.0, u, g, x, h,575.0, f, f,0, t, s,711,0, positive
b,2892.0,375.0, u, g, c, v,29.0, f, f,0, f, g,220,140, negative
b,3125.0,2835.0, u, g, ff, ff,0.0, f, t,5, f, g,176,146, negative
a,2267.0,335.0, u, g, q, v,75.0, f, f,0, f, s,160,0, negative
b,1883.0,415.0, y, p, c, v,165.0, f, t,1, f, g,200,1, negative
a,1733.0,95.0, u, g, aa, v,175.0, f, t,10, t, g,0,10, negative
b,4717.0,5835.0, u, g, w, v,55.0, f, f,0, f, g,465,150, negative
b,5158.0,15.0, u, g, c, v,85.0, t, t,9, f, g,0,0, positive
a,1649.0,900.0, y, g, ff, v,0.0, t, t,0, t, g,140,698, positive
b,2026.0,71.0, u, p, e, v,0.0, t, f,0, t, g,46,0, positive
b,19.0,175.0, y, p, c, v,2335.0, f, f,0, t, g,112,6, negative
b,3158.0,75.0, y, p, aa, v,35.0, f, f,0, t, g,320,0, negative
a,245.0,104.0, y, p, ff, ff,5.0, t, t,3, f, g,180,147, negative
a,7675.0,492.0, u, g, q, n,0.0, t, t,0, t, g,0,458, positive
a,2778.0,1492.0, u, g, k, o,0.0, t, f,0, f, g,0,1901, positive
a,285.0,1.0, u, g, q, v,1.0, t, t,2, t, g,167,500, negative
b,2958.0,475.0, u, g, m, v,2.0, f, t,1, t, g,460,68, negative
b,18.0,0.0, u, g, w, h,0.0, t, f,9, f, g,0,927, positive
b,2458.0,125.0, u, g, c, v,25.0, f, f,0, f, g,110,0, negative
b,255.0,375.0, u, g, m, v,25.0, t, t,3, f, g,260,15108, positive
a,2267.0,335.0, u, g, q, v,75.0, f, f,0, f, s,160,0, negative
b,3058.0,271.0, y, p, m, v,125.0, f, f,0, t, s,80,0, negative
b,2858.0,3625.0, u, g, aa, v,25.0, f, f,0, t, g,100,0, negative
b,41.0,4.0, u, g, e, v,4.0, f, t,1, f, s,560,0, positive
b,3917.0,25.0, y, p, i, h,10.0, f, f,0, t, s,200,0, negative
b,2342.0,585.0, u, g, c, h,85.0, t, f,0, f, g,180,0, negative
a,225.0,846.0, y, p, x, v,246.0, f, f,0, f, g,164,0, positive
b,2983.0,204.0, y, p, x, h,4.0, f, f,0, f, g,128,1, negative
b,2775.0,585.0, y, p, cc, v,25.0, t, t,2, f, g,260,500, positive
b,16.0,3125.0, u, g, w, v,85.0, f, t,1, f, g,0,6, negative
b,2008.0,25.0, u, g, q, v,125.0, f, f,0, f, g,200,0, negative
b,2867.0,9335.0, u, g, q, h,5665.0, t, t,6, f, g,381,168, positive
b,1883.0,415.0, y, p, c, v,165.0, f, t,1, f, g,200,1, negative
b,3417.0,275.0, u, g, i, bb,25.0, f, f,0, t, g,232,200, negative
b,3558.0,75.0, u, g, k, v,15.0, f, f,0, t, g,231,0, negative
b,4517.0,15.0, u, g, c, v,25.0, t, f,0, t, g,140,0, negative
b,1708.0,25.0, u, g, q, v,335.0, f, t,4, f, g,160,8, negative
b,5233.0,1375.0, y, p, c, h,946.0, t, f,0, t, g,200,100, negative
b,1842.0,10415.0, y, p, aa, v,125.0, t, f,0, f, g,120,375, negative
b,3625.0,5.0, u, g, c, bb,25.0, t, t,6, f, g,0,367, positive
b,3925.0,95.0, u, g, m, v,65.0, t, t,14, f, g,240,4607, positive
b,18.0,0.0, y, g, d, v,0.0, f, f,3, f, s,0,2573, positive
b,3242.0,2165.0, y, p, k, ff,0.0, f, f,0, f, g,120,0, negative
b,3233.0,25.0, u, g, c, v,125.0, f, f,0, t, g,280,0, negative
a,1631.0,796.0, y, g, c, v,0.0, t, t,2, f, g,0,1425, positive
b,2192.0,54.0, y, p, x, v,4.0, t, t,1, t, g,840,59, positive
b,1917.0,95.0, u, g, w, v,15.0, t, f,0, f, g,120,2206, positive
a,295.0,1085.0, y, p, x, v,1.0, f, f,0, f, g,280,13, negative
a,5758.0,2.0, u, g, ff, ff,65.0, f, t,1, f, g,0,10, negative
b,25.0,1125.0, u, g, c, v,25.0, t, t,17, f, g,200,1208, positive
b,2742.0,125.0, u, g, aa, bb,25.0, f, f,0, t, g,720,0, negative
b,2542.0,54.0, u, g, w, v,165.0, f, t,1, f, g,272,444, negative
a,2083.0,85.0, u, g, c, v,165.0, f, f,0, f, g,0,351, negative
b,2392.0,665.0, u, g, c, v,165.0, f, f,0, f, g,100,0, positive
b,1708.0,85.0, y, p, c, v,4.0, f, f,0, f, g,140,722, negative
b,2042.0,1835.0, u, g, c, v,225.0, t, t,1, f, g,100,150, positive
b,2325.0,4.0, u, g, c, bb,25.0, t, f,0, t, g,160,0, positive
a,3825.0,6.0, u, g, k, v,1.0, t, f,0, t, g,0,0, positive
a,695.0,6.0, u, g, ff, ff,0.0, f, f,0, f, s,0,0, negative
b,4117.0,404.0, u, g, cc, h,7.0, t, t,8, f, g,320,0, positive
b,2042.0,1085.0, u, g, q, v,15.0, f, f,0, f, g,108,7, negative
b,2067.0,125.0, y, p, c, h,1375.0, t, t,3, t, g,140,210, negative
b,2325.0,12625.0, u, g, c, v,125.0, f, t,2, f, g,0,5552, negative
b,4283.0,4625.0, u, g, q, v,458.0, t, f,0, f, s,0,0, positive
a,697.0,1199.0, u, g, cc, bb,2508.0, t, f,0, f, g,57,0, positive
a,3658.0,29.0, u, g, ff, ff,0.0, f, t,10, f, g,200,18, negative
b,4733.0,65.0, u, g, c, v,1.0, f, f,0, t, g,0,228, negative
a,2067.0,3.0, u, g, q, v,165.0, t, t,3, f, g,100,6, positive
b,3275.0,2335.0, u, g, d, h,575.0, f, f,0, t, g,292,0, negative
b,3667.0,325.0, u, g, q, h,9.0, t, f,0, t, g,102,639, positive
b,45.0,85.0, u, g, cc, h,14.0, t, t,1, t, g,88,2000, positive
a,205.0,11835.0, u, g, c, h,6.0, t, f,0, f, g,340,0, positive
b,175.0,22.0, l, gg, ff, o,0.0, f, f,0, t, p,450,100000, positive
a,2842.0,35.0, u, g, w, v,835.0, t, f,0, f, s,280,0, positive
b,4425.0,11.0, y, p, d, v,15.0, t, f,0, f, s,0,0, negative
a,2858.0,375.0, u, g, c, v,25.0, f, t,1, t, g,40,154, negative
b,2104.0,1302.0, u, gg, q, h,0.0, t, f,6, t, g,0,0, positive
b,2267.0,75.0, u, g, i, v,1585.0, f, t,1, t, g,400,9, negative
a,3542.0,12.0, u, g, q, h,14.0, t, t,8, f, g,0,6590, positive
a,2033.0,10.0, u, g, c, h,1.0, t, t,4, f, g,50,1465, positive
a,1917.0,8585.0, u, g, cc, h,75.0, t, t,7, f, g,96,0, positive
b,3865.0,14591.0, y, p, c, h,0.0, t, t,0, t, g,0,774, positive
b,1833.0,121.0, y, p, e, dd,0.0, f, f,0, f, g,100,0, negative
a,2608.0,8665.0, u, g, aa, v,1415.0, t, f,0, f, g,160,150, positive
b,235.0,275.0, u, g, ff, ff,45.0, f, f,0, f, g,160,25, negative
b,2767.0,75.0, u, g, q, h,165.0, f, f,0, t, g,220,251, negative
b,1883.0,354.0, y, p, ff, ff,0.0, f, f,0, t, g,180,1, negative
b,26.0,1.0, u, g, q, v,175.0, t, f,0, t, g,280,0, positive
b,3492.0,25.0, u, g, w, v,0.0, t, f,0, t, g,239,200, positive
b,2875.0,15.0, y, p, c, v,15.0, t, f,0, t, g,0,225, negative
b,3288.0,1978.0, l, g, k, v,0.0, t, f,0, t, g,0,0, positive
b,2825.0,875.0, u, g, m, v,96.0, t, t,3, t, g,396,0, positive
b,1842.0,10415.0, y, p, aa, v,125.0, t, f,0, f, g,120,375, negative
b,5075.0,585.0, u, g, ff, ff,0.0, f, f,0, f, g,145,0, negative
a,225.0,85.0, u, g, q, v,175.0, t, t,10, f, g,80,990, negative
b,2667.0,271.0, y, p, cc, v,525.0, t, t,1, f, g,211,0, positive
a,6517.0,14.0, u, g, ff, ff,0.0, t, t,11, t, g,0,1400, positive
b,1917.0,95.0, u, g, w, v,15.0, t, f,0, f, g,120,2206, positive
a,3125.0,375.0, u, g, cc, h,625.0, t, t,9, t, g,181,0, positive
a,18.0,594.0, u, gg, e, z,0.0, t, t,2, t, g,0,406, positive
b,1625.0,835.0, u, g, m, v,85.0, t, f,0, f, s,200,0, negative
b,2267.0,254.0, y, p, c, h,2585.0, t, f,0, f, g,0,0, positive
a,2075.0,10335.0, u, g, cc, h,335.0, t, t,1, t, g,80,50, positive
b,2740.0,14121.0, u, g, m, dd,4897.0, f, t,1, t, g,106,268, positive
a,1892.0,9.0, u, g, aa, v,75.0, t, t,2, f, g,88,591, positive
a,6867.0,15.0, u, g, e, z,0.0, t, t,14, f, g,0,3376, positive
b,25.0,125.0, u, g, aa, v,3.0, t, f,0, t, s,20,0, positive
b,2783.0,154.0, u, g, w, v,375.0, t, t,5, t, g,100,3, positive
b,4425.0,11.0, y, p, d, v,15.0, t, f,0, f, s,0,0, negative
a,4033.0,754.0, y, p, q, h,8.0, t, t,14, f, g,0,2300, positive
b,2625.0,154.0, u, g, w, v,125.0, f, f,0, f, g,100,0, negative
b,2942.0,125.0, u, g, w, v,175.0, f, f,0, f, g,200,0, negative
b,2767.0,1375.0, u, g, w, v,575.0, t, f,0, t, g,487,500, positive
a,1917.0,585.0, y, p, aa, v,585.0, t, f,0, t, g,160,0, negative
b,3667.0,2.0, u, g, i, v,25.0, f, f,0, t, g,221,0, negative
b,4833.0,12.0, u, g, m, v,16.0, t, f,0, f, s,110,0, positive
a,5439.0,820.0, u, g, x, ff,0.0, t, t,10, f, g,12,6469, positive
b,4283.0,125.0, u, g, m, v,13875.0, f, t,1, t, g,352,112, negative
b,3108.0,3085.0, u, g, c, v,25.0, f, t,2, t, g,160,41, negative
b,2208.0,1146.0, u, g, k, v,1585.0, f, f,0, t, g,100,1212, negative
b,2925.0,13.0, u, g, d, h,5.0, f, f,0, f, g,228,0, negative
a,195.0,165.0, u, g, q, v,4.0, f, f,0, t, g,380,0, negative
b,3358.0,275.0, u, g, m, v,425.0, t, t,6, f, g,204,0, positive
b,3283.0,25.0, u, g, cc, h,275.0, t, t,6, f, g,160,2072, positive
a,2075.0,954.0, u, g, i, v,4.0, f, f,0, f, g,200,1000, negative
b,3058.0,271.0, y, p, m, v,125.0, f, f,0, t, s,80,0, negative
a,2267.0,75.0, u, g, c, v,2.0, f, t,2, t, g,200,394, negative
a,1586.0,1213.0, u, g, q, n,0.0, t, f,0, f, s,0,2089, positive
b,2208.0,83.0, u, g, c, h,2165.0, f, f,0, t, g,128,0, positive
a,1575.0,375.0, u, g, c, v,1.0, f, f,0, f, g,120,18, negative
b,2142.0,75.0, y, p, r, n,75.0, f, f,0, t, g,132,2, negative
b,2292.0,17.0, u, g, m, v,85.0, f, f,0, f, s,0,0, negative
b,2375.0,12.0, u, g, c, v,2085.0, f, f,0, f, s,80,0, negative
a,3308.0,1625.0, u, g, d, v,54.0, f, f,0, t, g,0,0, negative
b,5142.0,4.0, u, g, x, h,4.0, t, f,0, f, g,0,3000, positive
a,2842.0,35.0, u, g, w, v,835.0, t, f,0, f, s,280,0, positive
b,2667.0,14585.0, u, g, i, bb,0.0, f, f,0, t, g,178,0, negative
b,2067.0,125.0, y, p, c, h,1375.0, t, t,3, t, g,140,210, negative
b,33.0,25.0, y, p, w, v,7.0, f, f,0, t, g,280,0, negative
a,3825.0,6.0, u, g, k, v,1.0, t, f,0, t, g,0,0, positive
a,3875.0,15.0, u, g, ff, ff,0.0, f, f,0, f, g,76,0, negative
b,2617.0,25.0, u, g, i, bb,0.0, t, f,0, t, g,0,0, positive
b,2117.0,0.0, u, g, c, v,5.0, f, f,0, t, s,0,0, negative
b,5742.0,85.0, u, g, e, h,7.0, t, t,3, f, g,0,0, positive
b,4517.0,15.0, u, g, c, v,25.0, t, f,0, t, g,140,0, negative
b,3367.0,2165.0, u, g, c, v,15.0, f, f,0, f, p,120,0, negative
a,5333.0,165.0, u, g, ff, ff,0.0, f, f,0, t, s,62,27, negative
b,283.0,1160.0, u, g, c, v,0.0, t, t,0, f, s,70,1938, positive
b,56.0,125.0, u, g, k, h,8.0, t, f,0, t, g,24,2028, positive
b,3675.0,125.0, y, p, c, v,15.0, f, f,0, t, g,232,113, positive
b,2858.0,3625.0, u, g, aa, v,25.0, f, f,0, t, g,100,0, negative
b,3958.0,5.0, u, g, ff, ff,0.0, f, t,2, f, g,17,1, negative
b,3667.0,4415.0, y, p, k, v,25.0, t, t,10, t, g,320,0, positive
b,4308.0,375.0, y, p, c, v,375.0, t, t,8, t, g,300,162, positive
b,335.0,175.0, u, g, x, h,45.0, t, t,4, t, g,253,857, positive
a,285.0,304.0, y, p, x, h,254.0, t, t,1, f, g,70,0, positive
b,2967.0,75.0, y, p, c, v,4.0, f, f,0, f, g,240,0, negative
b,1830.0,0.0, y, p, cc, v,0.0, t, f,6, t, g,0,2373, positive
a,2733.0,1665.0, u, g, ff, ff,0.0, f, f,0, f, g,340,1, negative
b,2458.0,125.0, u, g, c, v,25.0, f, f,0, f, g,110,0, negative
b,2617.0,125.0, y, p, k, h,125.0, f, f,0, t, g,0,17, negative
a,1270.0,4390.0, y, p, w, h,0.0, t, f,0, f, g,74,2247, positive
b,4158.0,175.0, u, g, k, v,21.0, t, f,0, f, g,160,0, negative
b,245.0,13335.0, y, p, aa, v,4.0, f, f,0, t, g,120,475, negative
b,35.0,25.0, u, g, i, v,1.0, f, f,0, t, g,210,0, negative
a,4417.0,6665.0, u, g, q, v,7375.0, t, t,3, t, g,0,0, positive
b,1625.0,835.0, u, g, m, v,85.0, t, f,0, f, s,200,0, negative
b,20.0,125.0, y, p, k, v,125.0, f, f,0, f, g,140,4, negative
b,2825.0,875.0, u, g, m, v,96.0, t, t,3, t, g,396,0, positive
b,3442.0,425.0, u, g, i, bb,325.0, t, t,2, f, g,274,610, positive
a,2292.0,11585.0, u, g, cc, v,4.0, t, f,0, f, g,80,1349, positive
a,2175.0,1175.0, u, g, c, v,25.0, f, f,0, t, g,180,0, negative
a,25.0,875.0, u, g, x, h,104.0, t, f,0, t, g,160,5860, positive
b,5133.0,10.0, u, g, i, bb,0.0, t, t,11, f, g,0,1249, positive
b,4025.0,215.0, u, g, e, z,20.0, t, t,11, f, g,0,1200, positive
a,2258.0,1075.0, u, g, q, v,415.0, t, t,5, t, g,0,560, positive
b,2275.0,115.0, u, g, i, v,415.0, f, f,0, f, g,0,0, negative
b,2983.0,35.0, u, g, c, v,165.0, f, f,0, f, g,216,0, negative
b,2767.0,75.0, u, g, q, h,165.0, f, f,0, t, g,220,251, negative
b,3408.0,65.0, u, g, aa, v,125.0, t, f,0, t, g,443,0, negative
b,2392.0,585.0, y, p, cc, h,125.0, f, f,0, f, g,240,1, negative
a,1792.0,54.0, u, g, c, v,175.0, f, t,1, t, g,80,5, negative
b,2292.0,3165.0, y, p, c, v,165.0, f, f,0, f, g,160,1058, negative
b,3167.0,83.0, u, g, x, v,1335.0, t, t,8, t, g,303,3290, positive
a,36.0,1.0, u, g, c, v,2.0, t, t,11, f, g,0,456, positive
a,2067.0,1835.0, u, g, q, v,2085.0, t, t,5, f, g,220,2503, positive
b,215.0,115.0, u, g, i, v,5.0, t, f,0, t, g,100,68, negative
b,3058.0,271.0, y, p, m, v,125.0, f, f,0, t, s,80,0, negative
b,625.0,1275.0, y, p, c, h,5.0, t, f,0, f, g,112,0, negative
b,3467.0,108.0, u, g, m, v,1165.0, f, f,0, f, s,28,0, negative
b,2067.0,415.0, u, g, c, v,125.0, f, f,0, f, g,0,44, negative
a,3367.0,375.0, u, g, cc, v,375.0, f, f,0, f, g,300,44, positive
b,5158.0,15.0, u, g, c, v,85.0, t, t,9, f, g,0,0, positive
a,3325.0,3.0, y, p, aa, v,2.0, f, f,0, f, g,180,0, negative
a,3775.0,55.0, u, g, q, v,125.0, t, f,0, t, g,228,0, positive
a,2767.0,15.0, u, g, m, v,2.0, t, f,0, f, s,368,0, negative
b,215.0,115.0, u, g, i, v,5.0, t, f,0, t, g,100,68, negative
b,3233.0,75.0, u, g, e, bb,1585.0, t, f,0, t, s,420,0, negative
b,4175.0,96.0, u, g, x, v,25.0, t, f,0, f, g,510,600, positive
b,2167.0,1165.0, y, p, k, v,25.0, t, t,1, f, g,180,20, negative
b,3183.0,25.0, u, g, aa, v,75.0, t, f,0, t, g,523,0, negative
b,4425.0,11.0, y, p, d, v,15.0, t, f,0, f, s,0,0, negative
b,3983.0,5.0, u, g, m, v,25.0, t, f,0, f, s,288,0, negative
b,4092.0,835.0, u, g, ff, ff,0.0, t, f,0, f, g,130,1, negative
a,2067.0,1835.0, u, g, q, v,2085.0, t, t,5, f, g,220,2503, positive
b,3442.0,425.0, u, g, i, bb,325.0, t, t,2, f, g,274,610, positive
b,2017.0,5625.0, u, g, w, v,171.0, t, f,0, f, s,120,0, positive
b,175.0,22.0, l, gg, ff, o,0.0, f, f,0, t, p,450,100000, positive
a,3367.0,375.0, u, g, cc, v,375.0, f, f,0, f, g,300,44, positive
b,18.0,973.0, u, g, i, v,259.0, t, t,0, t, g,84,2555, positive
b,2133.0,75.0, u, g, aa, v,1415.0, t, t,1, f, g,80,9800, positive
b,3842.0,705.0, u, g, c, v,375.0, f, t,2, f, g,225,500, negative
a,1883.0,4415.0, y, p, c, h,3.0, t, f,0, f, g,240,0, positive
a,3875.0,15.0, u, g, ff, ff,0.0, f, f,0, f, g,76,0, negative
b,4825.0,25085.0, u, g, w, v,175.0, t, t,3, f, g,120,14, positive
b,2342.0,585.0, u, g, c, h,85.0, t, f,0, f, g,180,0, negative
b,2408.0,875.0, u, g, m, v,85.0, f, t,4, f, g,254,1950, negative
b,19.0,175.0, y, p, c, v,2335.0, f, f,0, t, g,112,6, negative
b,2258.0,15.0, y, p, aa, v,54.0, f, f,0, t, g,120,67, negative
b,2942.0,125.0, u, g, w, v,175.0, f, f,0, f, g,200,0, negative
a,2778.0,1492.0, u, g, k, o,0.0, t, f,0, f, g,0,1901, positive
b,2183.0,154.0, u, g, k, v,85.0, f, f,0, t, g,356,0, negative
b,2167.0,1165.0, y, p, k, v,25.0, t, t,1, f, g,180,20, negative
b,2217.0,225.0, u, g, i, v,125.0, f, f,0, f, g,160,10, negative
a,1286.0,0.0, y, p, q, v,0.0, t, t,0, t, g,0,1387, positive
b,375.0,835.0, u, g, e, v,4.0, f, f,0, f, g,120,5, negative
a,5333.0,165.0, u, g, ff, ff,0.0, f, f,0, t, s,62,27, negative
a,2483.0,45.0, u, g, w, v,1.0, f, f,0, t, g,360,6, negative
b,2875.0,1165.0, u, g, k, v,5.0, t, f,0, f, s,280,0, negative
b,3675.0,125.0, y, p, c, v,15.0, f, f,0, t, g,232,113, positive
b,32.0,175.0, y, p, e, h,4.0, t, f,0, t, g,393,0, positive
