b,4858.0,205.0, y, p, k, v,25.0, t, t,11, f, g,380,2732, positive
b,25.0,1125.0, u, g, c, v,25.0, t, t,17, f, g,200,1208, positive
b,3492.0,25.0, u, g, w, v,0.0, t, f,0, t, g,239,200, positive
a,2125.0,2335.0, u, g, i, bb,5.0, t, t,4, f, s,80,0, positive
b,255.0,375.0, u, g, m, v,25.0, t, t,3, f, g,260,15108, positive
a,3125.0,375.0, u, g, cc, h,625.0, t, t,9, t, g,181,0, positive
b,2108.0,10085.0, y, p, e, h,125.0, f, f,0, f, g,260,0, negative
a,2067.0,3.0, u, g, q, v,165.0, t, t,3, f, g,100,6, positive
b,2258.0,15.0, y, p, aa, v,54.0, f, f,0, t, g,120,67, negative
b,295.0,58.0, u, g, w, v,29.0, f, t,1, f, g,340,2803, negative
b,375.0,175.0, y, p, c, bb,25.0, t, f,0, t, g,164,400, negative
b,225.0,125.0, y, p, k, v,125.0, f, f,0, f, g,200,70, negative
a,1967.0,21.0, u, g, q, h,29.0, t, t,11, f, g,80,99, positive
b,3958.0,5.0, u, g, ff, ff,0.0, f, t,2, f, g,17,1, negative
b,2108.0,10085.0, y, p, e, h,125.0, f, f,0, f, g,260,0, negative
b,2042.0,1085.0, u, g, q, v,15.0, f, f,0, f, g,108,7, negative
b,2817.0,125.0, y, p, k, v,85.0, f, f,0, f, g,216,2100, negative
b,3408.0,8.0, y, p, m, bb,4.0, t, t,1, t, g,280,2000, positive
b,3617.0,42.0, y, p, w, v,29.0, f, f,0, t, g,309,2, negative
a,1842.0,925.0, u, g, q, v,121.0, t, t,4, f, g,60,540, positive
b,5858.0,271.0, u, g, c, v,2415.0, f, f,0, t, g,320,0, negative
b,3642.0,75.0, y, p, d, v,585.0, f, f,0, f, g,240,3, negative
b,6275.0,7.0, u, g, e, z,0.0, f, f,0, f, g,0,12, negative
b,3225.0,14.0, y, p, ff, ff,0.0, f, t,2, f, g,160,1, negative
b,2783.0,15.0, u, g, w, v,2.0, t, t,11, t, g,434,35, positive
b,1825.0,165.0, u, g, d, v,25.0, f, f,0, t, s,280,0, negative
b,4875.0,85.0, u, g, c, h,125.0, t, t,9, f, g,181,1655, positive
b,1817.0,1025.0, u, g, c, h,1085.0, f, f,0, f, g,320,13, negative
a,165.0,125.0, u, g, q, v,25.0, f, t,1, f, g,108,98, negative
b,2167.0,1165.0, y, p, k, v,25.0, t, t,1, f, g,180,20, negative
b,4780.0,962.0, u, g, e, v,0.0, t, t,2, t, s,0,1219, positive
a,1631.0,796.0, y, g, c, v,0.0, t, t,2, f, g,0,1425, positive
b,3992.0,5.0, u, g, i, bb,21.0, f, f,0, f, g,550,0, negative
b,2333.0,11625.0, y, p, w, v,835.0, t, f,0, t, g,160,300, positive
a,295.0,46.0, u, g, k, v,54.0, t, t,4, f, g,380,500, positive
b,1792.0,205.0, u, g, aa, v,4.0, f, f,0, f, g,280,750, negative
a,225.0,11.0, y, p, q, v,3.0, t, f,0, t, g,268,0, negative
a,2725.0,29.0, u, g, m, h,125.0, f, t,1, t, g,272,108, negative
a,819.0,514.0, u, p, c, v,0.0, t, t,3, f, s,133,36, positive
b,595.0,275.0, u, g, w, v,175.0, t, t,5, t, g,60,58, positive
